idx,abund
0,0.50717897670714718
1,0.021477204857654787
2,0.00050169221580728652
3,0.00020704758112681664
4,8.7597053553653193e-05
5,5.5743579534142943e-05
6,0.00011148715906828589
7,0.00011148715906828589
8,5.5743579534142943e-05
9,8.7597053553653193e-05
10,0.00011148715906828589
11,7.9633685048775628e-05
12,7.9633685048775628e-05
13,4.7780211029265378e-05
14,6.37069480390205e-05
15,0.00015130400159267369
16,7.9633685048775628e-05
17,0.0002389010551463269
18,0.013665140354369899
19,0.00034242484570973523
20,3.9816842524387814e-05
21,7.1670316543898064e-05
22,8.7597053553653193e-05
23,0.00011148715906828589
24,0.00032649810869998011
25,0.0002389010551463269
26,4.7780211029265378e-05
27,0.00011148715906828589
28,0.0002389010551463269
29,4.7780211029265378e-05
30,3.9816842524387814e-05
31,8.7597053553653193e-05
32,0.00018315747561218395
33,0.00020704758112681664
34,0.00021501094963169421
35,8.7597053553653193e-05
36,7.1670316543898064e-05
37,0.000127413896078041
38,4.7780211029265378e-05
39,0.037603026080031854
40,0.0079155882938482976
41,0.052892693609396774
42,0.017917579135974516
43,0.0053195301612582119
44,0.0023412303404340036
45,9.5560422058530757e-05
46,8.7597053553653193e-05
47,0.00010352379056340832
48,3.9816842524387814e-05
49,0.00011945052757316345
50,0.003249054349990046
51,0.0012104320127413895
52,0.004355962572168027
53,0.00018315747561218395
54,0.00018315747561218395
55,9.5560422058530757e-05
56,0.0027234720286681267
57,0.000254827792156082
58,6.37069480390205e-05
59,0.000127413896078041
60,0.00076448337646824605
61,7.9633685048775628e-05
62,0.001202468644236512
63,0.0015448934899462473
64,0.00062910611188532754
65,0.00013537726458291856
66,0.00027075452916583713
67,0.00055743579534142944
68,0.00021501094963169421
69,4.7780211029265378e-05
70,5.5743579534142943e-05
71,0.00094764085208043
72,0.014604817837945452
73,0.0062990244873581524
74,0.0019828787577145131
75,8.7597053553653193e-05
76,9.5560422058530757e-05
77,0.00019908421262193908
78,0.0014174795938682063
79,8.7597053553653193e-05
80,0.0062830977503483976
81,0.0066414493330678873
82,0.0035198088791558828
83,0.0043639259406729044
84,0.0016643440175194107
85,0.0018395381246267171
86,0.00043798526776826595
87,0.0016086004379852678
88,0.00030260800318534739
89,0.00015926737009755126
90,0.00068484969141947047
91,5.5743579534142943e-05
92,5.5743579534142943e-05
93,0.00037427831972924549
94,4.7780211029265378e-05
95,8.7597053553653193e-05
96,0.0005892892693609397
97,3.9816842524387814e-05
98,0.00071670316543898072
99,7.1670316543898064e-05
100,0.00027075452916583713
101,0.00033446147720485764
102,3.9816842524387814e-05
103,4.7780211029265378e-05
104,3.9816842524387814e-05
105,0.00024686442365120446
106,3.9816842524387814e-05
107,6.37069480390205e-05
108,5.5743579534142943e-05
109,4.7780211029265378e-05
110,0.00061317937487557236
111,0.00011945052757316345
112,0.0082181962970336447
