sample_id,axis,coordinate
s00,0,0.1257302210933933
s00,1,-0.1321048632913019
s00,2,0.6404226504432821
s01,0,0.10490011715303971
s01,1,-0.535669373161111
s01,2,0.36159505490948474
s02,0,1.3040000451301372
s02,1,0.9470809631292422
s02,2,-0.7037352358069926
s03,0,-1.2654214710460525
s03,1,-0.6232744625373522
s03,2,0.0413259793472436
s04,0,-2.3250307746388343
s04,1,-0.21879166393254573
s04,2,-1.2459109472530652
s05,0,-0.7322673547034516
s05,1,-0.5442589828573099
s05,2,-0.31630015636915454
s06,0,0.4116305363741328
s06,1,1.0425133694426776
s06,2,-0.12853466294403426
s07,0,1.3664634705496859
s07,1,-0.6651946734866135
s07,2,0.3515100700930197
s08,0,0.9034701816518086
s08,1,0.09401229776087457
s08,2,-0.7434992493538084
s09,0,-0.9217253762584194
s09,1,-0.45772582566733916
s09,2,0.2201951234700494
s10,0,48.990381816461266
s10,1,-0.20917557487171307
s10,2,-0.15922500991447772
s11,0,50.540845584685805
s11,1,0.2146591225063409
s11,2,0.3553727090399214
s12,0,49.34617139058166
s12,1,-0.12961363369276946
s12,2,0.7839754700613295
s13,0,51.49343114522076
s13,1,-1.2590655321041202
s13,2,1.5139237747390626
s14,0,51.3458754237823
s14,1,0.7813114007004275
s14,2,0.2644556303293035
s15,0,49.686077185463574
s15,1,1.4580206835369587
s15,2,1.9602583164499647
s16,0,51.80163486986613
s16,1,1.31510376473437
s16,2,0.357380410658956
s17,0,48.79168136771783
s17,1,-0.004454133120083229
s17,2,0.6564749350763358
s18,0,48.71163853625045
s18,1,0.39512206018200824
s18,2,0.42986369482223
s19,0,50.69604272396287
s19,1,-1.184117966757189
s19,2,-0.6617025720390349
s20,0,-0.43643524714322124
s20,1,48.830198092227135
s20,2,1.739367877130134
s21,0,-0.4959107284421519
s21,1,50.328969629460204
s21,2,-0.258572545473924
s22,0,1.5834728788021222
s22,1,51.32036098708184
s22,2,0.6333526228249152
s23,0,-2.2035098806466507
s23,1,50.05202897425988
s23,2,0.6836861907765345
s24,0,1.0039615758421696
s24,1,49.3820929552924
s24,2,1.8220113633283233
s25,0,-1.3204309700132935
s25,1,49.33847197818478
s25,2,0.9350499881140221
s26,0,0.049054613825311656
s26,1,52.00239258364525
s26,2,0.18851919251246557
s27,0,-0.6331940901922267
s27,1,49.62243649476719
s27,2,-1.0911461176191954
s28,0,-1.277680166386608
s28,1,50.63041149076823
s28,2,0.5811658124128057
s29,0,1.294558819441117
s29,1,49.245394208740066
s29,2,1.689107452443673
