sample_id,axis,coordinate
S0,0,0.73282078589161737
S0,1,-0.63478839456952929
S0,2,-0.27334802530836205
S0,3,-1.6384770281113399
S0,4,0.69699587293837151
S1,0,0.66700846454924434
S1,1,-1.930494499103075
S1,2,1.2262860596700271
S1,3,0.98198375634055757
S1,4,0.32062249351674077
S2,0,0.87323453109169635
S2,1,-0.039715695646301723
S2,2,0.22707427787906834
S2,3,1.6941031839514038
S2,4,0.57033010670418194
S3,0,-0.6978167968287281
S3,1,-1.2506764719543813
S3,2,-0.56777591119324378
S3,3,-1.3746293872287378
S3,4,1.1109845546694679
S4,0,-1.723450451430645
S4,1,0.057282127886689023
S4,2,-1.6421619918731751
S4,3,1.0912924010418859
S4,4,0.30581692492445145
S5,0,1.1366444296411957
S5,1,-0.62551996208890326
S5,2,-0.4815671707435939
S5,3,-0.42922451972645653
S5,4,0.89472355982493967
S6,0,1.244994632163787
S6,1,0.725456370988664
S6,2,-0.15954606552250564
S6,3,-1.8427468237828832
S6,4,-0.086232645872693317
S7,0,-0.58405070642280488
S7,1,1.0549749917847036
S7,2,0.25958548536035442
S7,3,1.0332674093840049
S7,4,0.70714370423171735
S8,0,-0.078480519214058631
S8,1,-0.70217665591315204
S8,2,0.021887577697345898
S8,3,-1.2155285608128144
S8,4,1.6709227281511443
S9,0,-0.520853362743951
S9,1,-0.26821298662971982
S9,2,-0.66616567581431396
S9,3,-1.0236879070960321
S9,4,-0.16059197392364757
S10,0,0.35941101709936057
S10,1,0.95808997158177944
S10,2,-0.11940263162290564
S10,3,-1.9222960556394635
S10,4,-0.13254501226854953
S11,0,0.054466126863529654
S11,1,-0.51414186064518663
S11,2,0.42190414461757947
S11,3,-0.77969770008386008
S11,4,-1.2046154244902398
