sample_id,axis,coordinate
S0,0,-7.1669641930119097
S0,1,2.9574747033918301
S0,2,8.6604288902947921
S1,0,-2.7620044860019166
S1,1,1.0944357692941129
S1,2,5.6604602479438038
S2,0,-6.6764173804255424
S2,1,3.9102740039838029
S2,2,5.9938122664958939
S3,0,-8.0276185493069541
S3,1,0.24528233063647342
S3,2,1.2595237744745822
S4,0,-2.6503658538215036
S4,1,1.7145033169850223
S4,2,3.9982187027986469
S5,0,-6.7125143920422534
S5,1,4.0914646620784252
S5,2,3.4039371518524364
S6,0,-5.7866682879906319
S6,1,2.20209667621672
S6,2,7.3198778293784112
S7,0,-3.9164330092503472
S7,1,3.1923980438523851
S7,2,2.1449023301899355
