sample_id,axis,coordinate
S0,0,-0.27400443099851018
S0,1,-2.2818897076502784
S0,2,-0.3690929624682226
S1,0,0.078971135078342469
S1,1,-0.13200731919483122
S1,2,0.23979194675345764
S2,0,0.14425650720060759
S2,1,-1.4955379167597431
S2,2,-1.0763369435018619
S3,0,-1.3101339633210403
S3,1,0.12765845039153079
S3,2,-2.1273700484260507
S4,0,0.33100641574140532
S4,1,0.3415466323666716
S4,2,-0.27902357434590513
S5,0,0.24234190675531919
S5,1,-0.76252709624507276
S5,2,-1.8419201531696765
S6,0,-0.22962304134861555
S6,1,-1.4131308419246233
S6,2,-0.27243530558649459
S7,0,0.55375214142176954
S7,1,0.3656707061794639
S7,2,-1.3359832741927924
