"node_index","name","branch_length","parent_index"
1,"t29",0.43008705903776,67
2,"t3",0.688325837487355,67
3,"t9",0.53483550902456,68
4,"t30",0.677492777584121,71
5,"t4",0.193112251115963,72
6,"t16",0.216630151960999,72
7,"t46",0.782181293703616,70
8,"t1",0.655323873274028,69
9,"t13",0.925972046796232,65
10,"t15",0.74459535186179,73
11,"t7",0.167468877974898,74
12,"t35",0.482496506068856,75
13,"t45",0.112950218375772,75
14,"t49",0.471360522788018,80
15,"t20",0.698003262048587,80
16,"t18",0.069805440492928,82
17,"t52",0.413862131303176,83
18,"t47",0.585273602046072,83
19,"t58",0.0898957904428244,85
20,"t53",0.362831091275439,85
21,"t59",0.498496369458735,86
22,"t51",0.988926626974717,86
23,"t24",0.757515042088926,89
24,"t26",0.3067222754471,89
25,"t54",0.519725226331502,90
26,"t34",0.227857079356909,90
27,"t40",0.0962036678101867,91
28,"t25",0.0104366729501635,91
29,"t22",0.571585593745112,92
30,"t23",0.950981890782714,93
31,"t48",0.793277226854116,93
32,"t14",0.577468140749261,95
33,"t12",0.464753521373495,95
34,"t60",0.252906226785854,99
35,"t31",0.415454466594383,99
36,"t44",0.253052946878597,98
37,"t8",0.365894216345623,97
38,"t17",0.698360075708479,102
39,"t39",0.598517005797476,103
40,"t21",0.938625808572397,106
41,"t57",0.972371343290433,106
42,"t27",0.632148571778089,105
43,"t32",0.390657694544643,107
44,"t36",0.906302008545026,107
45,"t43",0.874105474213138,108
46,"t11",0.930380593985319,111
47,"t56",0.832351103192195,111
48,"t2",0.392267981544137,110
49,"t42",0.21084041101858,109
50,"t50",0.592116242973134,100
51,"t55",0.776550466194749,112
52,"t33",0.722579279216006,114
53,"t6",0.11266611982137,114
54,"t10",0.821381732355803,113
55,"t41",0.593504219548777,115
56,"t5",0.590620078612119,118
57,"t38",0.964346140157431,118
58,"t28",0.283787408145145,117
59,"t19",0.492551680887118,119
60,"t37",0.342552660964429,119
61,"S1",,
62,"S2",0.464344459353015,61
63,"S3",0.807924123480916,62
64,"S4",0.644285640446469,63
65,"S5",0.261306600645185,64
66,"S6",0.689491628902033,65
67,"S7",0.150505497120321,66
68,"S8",0.722437150543556,66
69,"S9",0.920140923932195,68
70,"S10",0.159770953236148,69
71,"S11",0.714792618295178,70
72,"S12",0.529562110081315,71
73,"S13",0.547810193151236,64
74,"S14",0.256054064957425,73
75,"S15",0.907758310437202,74
76,"S16",0.545959146693349,63
77,"S17",0.0340728883165866,76
78,"S18",0.850819104816765,77
79,"S19",0.233107378939167,78
80,"S20",0.693639465142041,79
81,"S21",0.467484412016347,79
82,"S22",0.434893460012972,81
83,"S23",0.314472447847947,82
84,"S24",0.768343057250604,81
85,"S25",0.521689532091841,84
86,"S26",0.222530980827287,84
87,"S27",0.27189244912006,78
88,"S28",0.736261631594971,87
89,"S29",0.841225095791742,88
90,"S30",0.507178391097113,88
91,"S31",0.925408948445693,87
92,"S32",0.179125474765897,77
93,"S33",0.871455711545423,92
94,"S34",0.346866803709418,76
95,"S35",0.120146097382531,94
96,"S36",0.827159654581919,94
97,"S37",0.838658415246755,96
98,"S38",0.506961860461161,97
99,"S39",0.744505249196663,98
100,"S40",0.42246926901862,96
101,"S41",0.058947318000719,100
102,"S42",0.195355696137995,101
103,"S43",0.732604219578207,102
104,"S44",0.238118382869288,103
105,"S45",0.664467013208196,104
106,"S46",0.666009559994563,105
107,"S47",0.690818802919239,104
108,"S48",0.566101893316954,101
109,"S49",0.150200034258887,108
110,"S50",0.384245383320376,109
111,"S51",0.389564089477062,110
112,"S52",0.238419084809721,62
113,"S53",0.150692327646539,112
114,"S54",0.119596908800304,113
115,"S55",0.641582546522841,61
116,"S56",0.412433905759826,115
117,"S57",0.874182568863034,116
118,"S58",0.252139414427802,117
119,"S59",0.322407750645652,116
