"name","trait","value"
"t31","w",-1.78001799967033
"t34","w",2.43722966988238
"t32","w",2.59850349091574
"t12","w",1.10492490972235
"t21","w",3.40445729585627
"t8","w",-2.27129784020376
"t24","w",1.33566170669603
"t10","w",2.74779883155835
"t46","w",0.809276227254472
"t40","w",3.0226213466519
"t48","w",-4.38429979476845
"t23","w",-2.62435683221795
"t5","w",0.495686815072979
"t58","w",0.621621080262406
"t38","w",1.44708567238129
"t3","w",-0.214975124424153
"t41","w",-2.66678527612863
"t16","w",1.45783071064261
"t55","w",1.02149027170838
"t28","w",-3.29377258195973
"t43","w",-1.0670833283359
"t18","w",3.29190123217063
"t29","w",-2.72007590997741
"t53","w",-0.622369872412594
"t30","w",2.03658430214107
"t22","w",-2.39336322367426
"t6","w",-4.77461681393256
"t4","w",3.54104437355292
"t51","w",3.66770786951444
"t17","w",-0.0327275596795487
"t11","w",1.03656739724314
"t13","w",0.282567474145809
"t57","w",0.0203801036212501
"t49","w",2.22786863429762
"t27","w",3.12655960848487
"t39","w",-0.958011414691125
"t1","w",0.967930188670463
"t60","w",2.05515893648106
"t54","w",0.960728323035308
"t44","w",-5.74481407207304
"t36","w",-7.01988869819601
"t47","w",1.44859288073684
"t2","w",3.53559014214413
"t9","w",-3.87833110050859
"t37","w",1.84731925573308
"t35","w",0.768126242659711
"t42","w",2.18351700717149
"t26","w",3.97233275560906
"t20","w",0.441475470535939
"t52","w",-1.79561817826389
"t59","w",6.57758978033756
"t33","w",6.98133838673473
"t19","w",3.40460879930837
"t45","w",-0.572653668565128
"t56","w",1.42453369198095
"t50","w",-1.63642480577455
"t14","w",3.16694563461243
"t25","w",1.28706549747857
"t7","w",-5.45986924246666
"t15","w",-2.07592826711808
