"node_index","name","branch_length","parent_index"
1,"t58",0.719657292356715,63
2,"t8",0.903634525137022,68
3,"t36",0.603474084753543,68
4,"t4",0.937385849654675,69
5,"t22",0.850482750684023,69
6,"t18",0.113718609092757,71
7,"t45",0.764507758663967,71
8,"t28",0.148446606704965,72
9,"t5",0.779368161456659,74
10,"t57",0.73352795955725,74
11,"t34",0.817230444401503,73
12,"t35",0.719378591282293,78
13,"t24",0.778809498529881,79
14,"t23",0.67859286791645,80
15,"t26",0.775825042743236,80
16,"t6",0.135713797062635,82
17,"t54",0.680164178134874,82
18,"t2",0.9348229537718,81
19,"t3",0.550494084367529,76
20,"t21",0.179555739276111,85
21,"t43",0.451886494411156,85
22,"t38",0.116174670401961,86
23,"t10",0.186102156760171,86
24,"t52",0.414049681741744,88
25,"t33",0.480310129001737,88
26,"t9",0.427494465606287,87
27,"t29",0.592304242542014,90
28,"t12",0.769032425712794,91
29,"t20",0.918056417256594,91
30,"t49",0.316975237801671,92
31,"t11",0.917904034024104,95
32,"t42",0.793191209202632,95
33,"t16",0.133329618256539,94
34,"t37",0.194676143815741,96
35,"t48",0.128872161731124,97
36,"t14",0.0722531112842262,98
37,"t27",0.0531294834800065,98
38,"t56",0.885117687052116,102
39,"t40",0.517111055552959,102
40,"t55",0.442796268267557,103
41,"t17",0.157880100421607,103
42,"t41",0.442324638832361,100
43,"t46",0.542015940882266,107
44,"t25",0.649875837611035,107
45,"t59",0.336419132305309,106
46,"t7",0.0609497462864965,105
47,"t53",0.838755033444613,108
48,"t19",0.353350377408788,109
49,"t51",0.547426078235731,109
50,"t31",0.313683822052553,114
51,"t60",0.307054400444031,115
52,"t15",0.185453581158072,115
53,"t47",0.351106922142208,117
54,"t32",0.159022381762043,117
55,"t50",0.304097996791825,116
56,"t13",0.996552679222077,118
57,"t1",0.804393312660977,118
58,"t30",0.869933269685134,119
59,"t39",0.554585863370448,119
60,"t44",0.421378421830013,110
61,"N1",,
62,"N2",0.573475898941979,61
63,"N3",0.589678303571418,62
64,"N4",0.394973045215011,63
65,"N5",0.919203929137439,64
66,"N6",0.962570293573663,65
67,"N7",0.233523525530472,66
68,"N8",0.724497599992901,67
69,"N9",0.631507298909128,67
70,"N10",0.579820899059996,66
71,"N11",0.821403923910111,70
72,"N12",0.623613457195461,70
73,"N13",0.0802644665818661,72
74,"N14",0.464069551322609,73
75,"N15",0.170162481255829,65
76,"N16",0.94472032552585,75
77,"N17",0.293623841367662,76
78,"N18",0.149072052445263,77
79,"N19",0.324085952481255,78
80,"N20",0.394441001815721,79
81,"N21",0.187869044020772,77
82,"N22",0.0290858189109713,81
83,"N23",0.601766235427931,75
84,"N24",0.19699448812753,83
85,"N25",0.535236610565335,84
86,"N26",0.317053351784125,84
87,"N27",0.729730096645653,83
88,"N28",0.41187207121402,87
89,"N29",0.136490360135213,64
90,"N30",0.824679406359792,89
91,"N31",0.794396977638826,90
92,"N32",0.862629777053371,89
93,"N33",0.259260575985536,92
94,"N34",0.74226645193994,93
95,"N35",0.74736111680977,94
96,"N36",0.287749752169475,93
97,"N37",0.784109382657334,96
98,"N38",0.129089283524081,97
99,"N39",0.531874436419457,62
100,"N40",0.112308241659775,99
101,"N41",0.74318771972321,100
102,"N42",0.731315477285534,101
103,"N43",0.851930984994397,101
104,"N44",0.967733667232096,99
105,"N45",0.484587929444388,104
106,"N46",0.252458439441398,105
107,"N47",0.259689980186522,106
108,"N48",0.451310850214213,104
109,"N49",0.574637334328145,108
110,"N50",0.892718593822792,61
111,"N51",0.489990570582449,110
112,"N52",0.171632113168016,111
113,"N53",0.543030994012952,112
114,"N54",0.961467695888132,113
115,"N55",0.820514548104256,114
116,"N56",0.0483467767480761,113
117,"N57",0.24567414727062,116
118,"N58",0.0175483247730881,112
119,"N59",0.086580601753667,111
