"name","state","probability"
"A1","0",0.493678252403072
"A1","1",0.506321747596928
"A2","0",0.531737220357944
"A2","1",0.468262779642056
"A3","0",0.729088912059888
"A3","1",0.270911087940112
"A4","0",0.6118889176475
"A4","1",0.3881110823525
"A5","0",0.874199497922699
"A5","1",0.125800502077301
"A6","0",0.924238874221008
"A6","1",0.075761125778992
"A7","0",0.950772717154386
"A7","1",0.0492272828456144
"A8","0",0.999387462776101
"A8","1",0.000612537223898738
"A9","0",0.924811738300889
"A9","1",0.0751882616991106
"A10","0",0.961093880540701
"A10","1",0.0389061194592991
"A11","0",0.548538048370142
"A11","1",0.451461951629858
"A12","0",0.573923525746064
"A12","1",0.426076474253936
"A13","0",0.980603984784829
"A13","1",0.0193960152151709
"A14","0",0.99815432844014
"A14","1",0.00184567155986006
"A15","0",0.0182658789336935
"A15","1",0.981734121066307
"A16","0",0.000457778918416785
"A16","1",0.999542221081583
"A17","0",0.302120670214116
"A17","1",0.697879329785884
"A18","0",0.170739336961531
"A18","1",0.829260663038469
"A19","0",0.0279932434356274
"A19","1",0.972006756564373
"A20","0",0.0110878535315763
"A20","1",0.988912146468424
"A21","0",0.0148001356212984
"A21","1",0.985199864378702
"A22","0",0.00200660508034424
"A22","1",0.997993394919656
"A23","0",1.94450997474275e-05
"A23","1",0.999980554900253
"A24","0",0.235328666806603
"A24","1",0.764671333193397
"A25","0",0.897180659257704
"A25","1",0.102819340742296
"A26","0",0.996213544845954
"A26","1",0.00378645515404597
"A27","0",0.995318567623978
"A27","1",0.00468143237602165
"A28","0",0.993875009484918
"A28","1",0.0061249905150818
"A29","0",0.08651000506665
"A29","1",0.91348999493335
"A30","0",0.00494956049082742
"A30","1",0.995050439509173
"A31","0",0.306925570706314
"A31","1",0.693074429293686
"A32","0",0.417521146702955
"A32","1",0.582478853297045
"A33","0",0.522927998582913
"A33","1",0.477072001417087
"A34","0",0.886939596395316
"A34","1",0.113060403604684
"A35","0",0.987243232430551
"A35","1",0.0127567675694492
"A36","0",0.998169843271094
"A36","1",0.00183015672890592
"A37","0",0.990816302536663
"A37","1",0.00918369746333755
"A38","0",0.215915137874832
"A38","1",0.784084862125168
"A39","0",0.244244329845408
"A39","1",0.755755670154592
"A40","0",0.0491209168339015
"A40","1",0.950879083166098
"A41","0",0.0590254501604516
"A41","1",0.940974549839548
"A42","0",0.0177248661535924
"A42","1",0.982275133846408
"A43","0",0.00332935627143054
"A43","1",0.99667064372857
"A44","0",0.00351451607954679
"A44","1",0.996485483920453
"A45","0",0.00616694294676043
"A45","1",0.99383305705324
"A46","0",0.00502728527814525
"A46","1",0.994972714721855
"A47","0",0.00611611242037539
"A47","1",0.993883887579625
"A48","0",0.0189282686038501
"A48","1",0.98107173139615
"A49","0",0.0379159842169118
"A49","1",0.962084015783088
