"name","estimate"
"M1",-0.721146762108409
"M2",-0.605021172533925
"M3",-0.121578720560641
"M4",0.0618723845561414
"M5",-0.849015227750271
"M6",2.06453453295813
"M7",0.0266231380750992
"M8",0.0150719738682608
"M9",0.408381114797605
"M10",1.75893975782418
"M11",1.60658408178031
"M12",-0.240773322520299
"M13",-2.71210168369909
"M14",-0.0775983476076869
"M15",0.0161695443066548
"M16",0.687867757129165
"M17",-0.411692974192866
"M18",-0.801527018110039
"M19",-0.538727139474392
"M20",-0.793530486298608
"M21",-1.78960097294491
"M22",-0.736874972855314
"M23",-1.51810929096961
"M24",-2.4216624859276
"M25",1.20815230437705
"M26",1.15224473485353
"M27",1.62752241221996
"M28",2.60840824807152
"M29",0.568198810870309
"M30",0.309050874786579
"M31",0.796551359641661
"M32",1.5082188054306
"M33",2.21464626451338
"M34",0.0298651073554256
"M35",-1.40114552877213
"M36",-2.83488185014747
"M37",-2.58171796332775
"M38",-0.879057861588439
"M39",0.698056870856198
"M40",1.65577458064438
"M41",1.78369230925362
"M42",0.608674235535058
"M43",2.85005224634397
"M44",2.159014354268
"M45",1.35516340477476
"M46",2.0394736801583
"M47",4.60107781205648
"M48",-0.490990237230272
"M49",0.719898646324066
"M50",-0.503926623800897
"M51",-0.410987429606567
"M52",2.62581004231308
