"name","state","probability"
"S1","0",0.0565175846108748
"S1","1",0.491362489137411
"S1","2",0.452119926251714
"S2","0",0.0834258239286593
"S2","1",0.207497574703615
"S2","2",0.709076601367726
"S3","0",0.183533708787801
"S3","1",0.206179118043422
"S3","2",0.610287173168778
"S4","0",0.285870766976674
"S4","1",0.301056913468824
"S4","2",0.413072319554502
"S5","0",0.308555303946408
"S5","1",0.327989795088073
"S5","2",0.363454900965519
"S6","0",0.797551732812473
"S6","1",0.076411069557428
"S6","2",0.126037197630099
"S7","0",0.94564116574884
"S7","1",0.0133835392112467
"S7","2",0.0409752950399131
"S8","0",0.641624280772131
"S8","1",0.195189743769816
"S8","2",0.163185975458054
"S9","0",0.984416957409699
"S9","1",0.00265347758438718
"S9","2",0.0129295650059136
"S10","0",0.992264377343344
"S10","1",0.000969006144823245
"S10","2",0.00676661651183268
"S11","0",0.996277242050716
"S11","1",0.000322023913077139
"S11","2",0.00340073403620657
"S12","0",0.999659564241981
"S12","1",1.69458225569341e-05
"S12","2",0.000323489935462296
"S13","0",0.325205861588808
"S13","1",0.319337575333308
"S13","2",0.355456563077884
"S14","0",0.528386438196421
"S14","1",0.149169887402236
"S14","2",0.322443674401343
"S15","0",0.014922391790654
"S15","1",0.146449728227434
"S15","2",0.838627879981912
"S16","0",0.184821204095775
"S16","1",0.109637740621104
"S16","2",0.70554105528312
"S17","0",0.138207960372035
"S17","1",0.116729701316183
"S17","2",0.745062338311781
"S18","0",0.0154019129132678
"S18","1",0.327791431089118
"S18","2",0.656806655997614
"S19","0",0.0140763219561175
"S19","1",0.222124305502019
"S19","2",0.763799372541863
"S20","0",0.00640585016357287
"S20","1",0.0679144142958445
"S20","2",0.925679735540583
"S21","0",0.034741283572851
"S21","1",0.150281554598393
"S21","2",0.814977161828755
"S22","0",0.000814482658254162
"S22","1",0.00683207666816209
"S22","2",0.992353440673584
"S23","0",0.00156358449004081
"S23","1",0.0114871101884402
"S23","2",0.986949305321519
"S24","0",0.296351664308342
"S24","1",0.302707657790309
"S24","2",0.400940677901349
"S25","0",0.00146603104115085
"S25","1",0.981578640099619
"S25","2",0.0169553288592296
"S26","0",0.793268071828718
"S26","1",0.060367616711214
"S26","2",0.146364311460068
"S27","0",0.00738912794696025
"S27","1",0.566486203997877
"S27","2",0.426124668055163
"S28","0",0.00422385499306602
"S28","1",0.73494267633393
"S28","2",0.260833468673004
"S29","0",0.00336065650481163
"S29","1",0.443244846138542
"S29","2",0.553394497356646
"S30","0",0.000264322157293435
"S30","1",0.970332906442095
"S30","2",0.029402771400612
"S31","0",2.15970870897393e-06
"S31","1",0.999715817354085
"S31","2",0.000282022937205555
"S32","0",0.0725768780464707
"S32","1",0.122955472254359
"S32","2",0.80446764969917
"S33","0",0.0234202731294521
"S33","1",0.407381161342544
"S33","2",0.569198565528004
"S34","0",0.922811143298067
"S34","1",0.00614984726322526
"S34","2",0.0710390094387073
"S35","0",0.975764050674273
"S35","1",0.00140728106298875
"S35","2",0.0228286682627385
"S36","0",0.971669329855664
"S36","1",0.00269591927093134
"S36","2",0.0256347508734042
"S37","0",0.888215598169106
"S37","1",0.00631986912507198
"S37","2",0.105464532705822
"S38","0",0.0956974923476925
"S38","1",0.0187942459852332
"S38","2",0.885508261667074
"S39","0",0.00526636302628276
"S39","1",0.0111246862836327
"S39","2",0.983608950690085
"S40","0",0.994954772359437
"S40","1",0.00015859063775878
"S40","2",0.0048866370028042
"S41","0",0.993959666046992
"S41","1",0.000168816914038991
"S41","2",0.00587151703896921
"S42","0",0.954217657953945
"S42","1",0.00233884924952043
"S42","2",0.0434434927965343
"S43","0",0.995810657148687
"S43","1",0.000281092291642352
"S43","2",0.00390825055967044
"S44","0",0.997021147768787
"S44","1",0.000203648549117147
"S44","2",0.00277520368209544
"S45","0",0.995561753678732
"S45","1",0.000390596289171686
"S45","2",0.00404765003209598
"S46","0",0.992336404944773
"S46","1",0.000825968442821501
"S46","2",0.00683762661240581
"S47","0",0.996889818511156
"S47","1",0.000258488970147134
"S47","2",0.00285169251869698
"S48","0",0.998629713580221
"S48","1",8.26109167534371e-05
"S48","2",0.0012876755030251
"S49","0",0.9995096583774
"S49","1",1.90366330524982e-05
"S49","2",0.000471304989547045
"S50","0",0.993295853750258
"S50","1",0.000384863933384287
"S50","2",0.00631928231635785
"S51","0",0.919044977194457
"S51","1",0.00610100325912181
"S51","2",0.074854019546421
"S52","0",0.0872972484940401
"S52","1",0.0906283216032183
"S52","2",0.822074429902741
"S53","0",0.0173821762859436
"S53","1",0.0590458593385271
"S53","2",0.923571964375529
"S54","0",0.00358489874587699
"S54","1",0.0540520389420518
"S54","2",0.942363062312071
"S55","0",0.00326633551996144
"S55","1",0.89656188204536
"S55","2",0.100171782434678
"S56","0",0.000562633121506768
"S56","1",0.95862756606362
"S56","2",0.0408098008148735
"S57","0",0.000124105748012818
"S57","1",0.985793481503798
"S57","2",0.0140824127481893
"S58","0",0.000231088981065864
"S58","1",0.979627090304691
"S58","2",0.0201418207142434
"S59","0",0.000102923239097629
"S59","1",0.986668693213778
"S59","2",0.0132283835471245
