case_id,sample,idx,value
all_same_value,a,0,5.0
all_same_value,a,1,5.0
all_same_value,a,2,5.0
all_same_value,a,3,5.0
all_same_value,b,0,5.0
all_same_value,b,1,5.0
all_same_value,b,2,5.0
all_same_value,b,3,5.0
all_same_value,b,4,5.0
all_same_value,b,5,5.0
common_factor_12_30,a,0,1.108977246986614
common_factor_12_30,a,1,0.8231981644462496
common_factor_12_30,a,2,0.01821231087274234
common_factor_12_30,a,3,0.05951403920564439
common_factor_12_30,a,4,-1.9712633318778354
common_factor_12_30,a,5,0.4614466972370523
common_factor_12_30,a,6,0.7548357856766331
common_factor_12_30,a,7,0.9827875480530558
common_factor_12_30,a,8,-0.09441617472684241
common_factor_12_30,a,9,0.43267146292497083
common_factor_12_30,a,10,-0.9104993327022517
common_factor_12_30,a,11,0.3856972269372505
common_factor_12_30,b,0,-0.4514131716729752
common_factor_12_30,b,1,-1.7484514644197242
common_factor_12_30,b,2,-0.3972664223870502
common_factor_12_30,b,3,-0.43963431052840146
common_factor_12_30,b,4,-0.46677640582573543
common_factor_12_30,b,5,-0.23111901547171113
common_factor_12_30,b,6,0.015745651552396284
common_factor_12_30,b,7,-0.7463410039023656
common_factor_12_30,b,8,-0.8185429134928145
common_factor_12_30,b,9,0.22062647971337596
common_factor_12_30,b,10,-0.3157469791703836
common_factor_12_30,b,11,1.2488707282601288
common_factor_12_30,b,12,0.10731354358128145
common_factor_12_30,b,13,-0.36900303087657876
common_factor_12_30,b,14,0.619367813536097
common_factor_12_30,b,15,0.8770896805745347
common_factor_12_30,b,16,-0.31851444379986643
common_factor_12_30,b,17,0.3015573028414933
common_factor_12_30,b,18,-0.6627013897508904
common_factor_12_30,b,19,0.6089257392497502
common_factor_12_30,b,20,-0.04193427922102126
common_factor_12_30,b,21,1.684776773655951
common_factor_12_30,b,22,-0.6847697847912487
common_factor_12_30,b,23,-0.6236920430861942
common_factor_12_30,b,24,-0.5899303351724138
common_factor_12_30,b,25,-1.6697768015452943
common_factor_12_30,b,26,0.21298666433985478
common_factor_12_30,b,27,0.9465718518280194
common_factor_12_30,b,28,-0.5496727998629217
common_factor_12_30,b,29,1.4444498505824315
common_factor_6_9,a,0,0.9302668595213753
common_factor_6_9,a,1,0.6363033796687435
common_factor_6_9,a,2,-2.514079156379589
common_factor_6_9,a,3,0.81293687462756
common_factor_6_9,a,4,0.2566879647676909
common_factor_6_9,a,5,0.7304968109046515
common_factor_6_9,b,0,-0.6601689817461547
common_factor_6_9,b,1,-2.4918182919309935
common_factor_6_9,b,2,-0.3137618413449862
common_factor_6_9,b,3,1.462057264448755
common_factor_6_9,b,4,-0.6296777232666984
common_factor_6_9,b,5,-1.065778276589184
common_factor_6_9,b,6,1.01070287080266
common_factor_6_9,b,7,0.14704570361412017
common_factor_6_9,b,8,0.946994414884366
coprime_3_11,a,0,-1.0196669698442973
coprime_3_11,a,1,0.7493456480674796
coprime_3_11,a,2,0.6792646336201473
coprime_3_11,b,0,-0.8997394991459786
coprime_3_11,b,1,-0.4431160659847249
coprime_3_11,b,2,0.41565795905593605
coprime_3_11,b,3,0.041969373963831935
coprime_3_11,b,4,0.16299258333668096
coprime_3_11,b,5,-1.750193299086376
coprime_3_11,b,6,1.2381393783660286
coprime_3_11,b,7,0.6128534561853058
coprime_3_11,b,8,-0.14800472480261165
coprime_3_11,b,9,-1.060197166601956
coprime_3_11,b,10,0.7031224082280758
coprime_7_13,a,0,0.9207396956274744
coprime_7_13,a,1,-0.989378852489424
coprime_7_13,a,2,1.710448015197216
coprime_7_13,a,3,0.8461335629722201
coprime_7_13,a,4,-0.09911364963684981
coprime_7_13,a,5,0.16143303004886553
coprime_7_13,a,6,-0.9099117014810496
coprime_7_13,b,0,1.2886978411352805
coprime_7_13,b,1,1.2947278656306067
coprime_7_13,b,2,0.8838387573809191
coprime_7_13,b,3,0.37232614004382514
